Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_no_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:37 2026
NOTE: automatic random seed used: 983445339
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Driver_2] ID:71 Name:pkt_2 | Src:0100 Tgt:1111 | Data(Hex):93 Data(Dec):147 | Type:BDP
[Monitor_1] ID:72 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):e9 Data(Dec):233 | Type:MDP
[Monitor_2] ID:73 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):e9 Data(Dec):233 | Type:MDP
[Checker] Predicted Drop: Packet ID 74 is INVALID (Src:0100 Tgt:0111). Ignoring.
[Driver_2] ID:74 Name:pkt_2 | Src:0100 Tgt:0111 | Data(Hex):f6 Data(Dec):246 | Type:MDP
[Checker] Predicted Drop: Packet ID 75 is INVALID (Src:0010 Tgt:0011). Ignoring.
[Driver_1] ID:75 Name:pkt_1 | Src:0010 Tgt:0011 | Data(Hex):dc Data(Dec):220 | Type:MDP
[Monitor_1] ID:76 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):d8 Data(Dec):216 | Type:SDP
[Monitor_0] ID:77 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):93 Data(Dec):147 | Type:BDP
[Monitor_1] ID:78 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):93 Data(Dec):147 | Type:BDP
[Monitor_2] ID:79 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):93 Data(Dec):147 | Type:BDP
[Monitor_3] ID:80 Name:monitored | Src:0100 Tgt:1111 | Data(Hex):93 Data(Dec):147 | Type:BDP
[Checker] Predicted Drop: Packet ID 81 is INVALID (Src:0001 Tgt:0101). Ignoring.
[Driver_0] ID:81 Name:pkt_0 | Src:0001 Tgt:0101 | Data(Hex):60 Data(Dec):96 | Type:MDP
[Checker] Predicted Drop: Packet ID 82 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:82 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):9a Data(Dec):154 | Type:ERR
[Driver_2] ID:83 Name:pkt_2 | Src:0100 Tgt:1000 | Data(Hex):a3 Data(Dec):163 | Type:SDP
[Checker] Predicted Drop: Packet ID 84 is INVALID (Src:0010 Tgt:0111). Ignoring.
[Driver_1] ID:84 Name:pkt_1 | Src:0010 Tgt:0111 | Data(Hex):8e Data(Dec):142 | Type:MDP
[Checker] Predicted Drop: Packet ID 85 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:85 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):14 Data(Dec):20 | Type:MDP
[Driver_1] ID:86 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):d5 Data(Dec):213 | Type:SDP
[Monitor_3] ID:87 Name:monitored | Src:0100 Tgt:1000 | Data(Hex):a3 Data(Dec):163 | Type:SDP
[Driver_3] ID:88 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):27 Data(Dec):39 | Type:SDP
[Driver_0] ID:89 Name:pkt_0 | Src:0001 Tgt:0110 | Data(Hex):c1 Data(Dec):193 | Type:MDP
[Driver_1] ID:90 Name:pkt_1 | Src:0010 Tgt:1101 | Data(Hex):23 Data(Dec):35 | Type:MDP
[Monitor_2] ID:91 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):27 Data(Dec):39 | Type:SDP
[Checker] Predicted Drop: Packet ID 92 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:92 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):08 Data(Dec):8 | Type:MDP
[Monitor_2] ID:93 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):d5 Data(Dec):213 | Type:SDP
[Driver_3] ID:94 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):48 Data(Dec):72 | Type:SDP
[Monitor_1] ID:95 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):c1 Data(Dec):193 | Type:MDP
[Monitor_2] ID:96 Name:monitored | Src:0001 Tgt:0110 | Data(Hex):c1 Data(Dec):193 | Type:MDP
[Monitor_0] ID:97 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):23 Data(Dec):35 | Type:MDP
[Monitor_2] ID:98 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):23 Data(Dec):35 | Type:MDP
[Monitor_3] ID:99 Name:monitored | Src:0010 Tgt:1101 | Data(Hex):23 Data(Dec):35 | Type:MDP
[Monitor_2] ID:100 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):48 Data(Dec):72 | Type:SDP
[Driver_0] ID:101 Name:pkt_0 | Src:0001 Tgt:1010 | Data(Hex):26 Data(Dec):38 | Type:MDP
[Driver_1] ID:102 Name:pkt_1 | Src:0010 Tgt:1101 | Data(Hex):ed Data(Dec):237 | Type:MDP
