Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  9 00:38 2026
NOTE: automatic random seed used: 1417513097
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Driver_3] ID:106 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):63 Data(Dec):99 | Type:ERR
[Checker] Predicted Drop: Packet ID 107 is INVALID (Src:0001 Tgt:1011). Ignoring.
[Driver_0] ID:107 Name:pkt_0 | Src:0001 Tgt:1011 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Checker] Predicted Drop: Packet ID 108 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:108 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):c9 Data(Dec):201 | Type:MDP
[Driver_1] ID:109 Name:pkt_1 | Src:0010 Tgt:1111 | Data(Hex):7f Data(Dec):127 | Type:BDP
[Checker] Predicted Drop: Packet ID 110 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:110 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):32 Data(Dec):50 | Type:MDP
[Driver_0] ID:111 Name:pkt_0 | Src:0001 Tgt:1000 | Data(Hex):be Data(Dec):190 | Type:SDP
[Driver_1] ID:112 Name:pkt_1 | Src:0010 Tgt:1100 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Monitor_0] ID:113 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):7f Data(Dec):127 | Type:BDP
[Monitor_1] ID:114 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):7f Data(Dec):127 | Type:BDP
[Monitor_2] ID:115 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):7f Data(Dec):127 | Type:BDP
[Monitor_3] ID:116 Name:monitored | Src:0010 Tgt:1111 | Data(Hex):7f Data(Dec):127 | Type:BDP
[Driver_3] ID:117 Name:pkt_3 | Src:1000 Tgt:0010 | Data(Hex):82 Data(Dec):130 | Type:SDP
[Checker] Predicted Drop: Packet ID 118 is INVALID (Src:0001 Tgt:1101). Ignoring.
[Driver_0] ID:118 Name:pkt_0 | Src:0001 Tgt:1101 | Data(Hex):9d Data(Dec):157 | Type:MDP
[Driver_2] ID:119 Name:pkt_2 | Src:0100 Tgt:1010 | Data(Hex):64 Data(Dec):100 | Type:MDP
[Monitor_3] ID:120 Name:monitored | Src:0001 Tgt:1000 | Data(Hex):be Data(Dec):190 | Type:SDP
[Monitor_1] ID:121 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):82 Data(Dec):130 | Type:SDP
[Monitor_2] ID:122 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Monitor_3] ID:123 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):0b Data(Dec):11 | Type:MDP
[Checker] Predicted Drop: Packet ID 124 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:124 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):6b Data(Dec):107 | Type:MDP
[Monitor_1] ID:125 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):64 Data(Dec):100 | Type:MDP
[Monitor_3] ID:126 Name:monitored | Src:0100 Tgt:1010 | Data(Hex):64 Data(Dec):100 | Type:MDP
[Driver_1] ID:127 Name:pkt_1 | Src:0010 Tgt:0001 | Data(Hex):b1 Data(Dec):177 | Type:SDP
[Checker] Predicted Drop: Packet ID 128 is INVALID (Src:0100 Tgt:1110). Ignoring.
[Driver_2] ID:128 Name:pkt_2 | Src:0100 Tgt:1110 | Data(Hex):7f Data(Dec):127 | Type:MDP
[Driver_1] ID:129 Name:pkt_1 | Src:0010 Tgt:0100 | Data(Hex):ad Data(Dec):173 | Type:SDP
[Checker] Predicted Drop: Packet ID 130 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:130 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):59 Data(Dec):89 | Type:MDP
[Monitor_0] ID:131 Name:monitored | Src:0010 Tgt:0001 | Data(Hex):b1 Data(Dec):177 | Type:SDP
[Driver_3] ID:132 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):03 Data(Dec):3 | Type:MDP
[Monitor_2] ID:133 Name:monitored | Src:0010 Tgt:0100 | Data(Hex):ad Data(Dec):173 | Type:SDP
[Checker] Predicted Drop: Packet ID 134 is INVALID (Src:1000 Tgt:1101). Ignoring.
[Driver_3] ID:134 Name:pkt_3 | Src:1000 Tgt:1101 | Data(Hex):af Data(Dec):175 | Type:MDP
[Driver_1] ID:135 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):09 Data(Dec):9 | Type:MDP
[Driver_2] ID:136 Name:pkt_2 | Src:0100 Tgt:1011 | Data(Hex):29 Data(Dec):41 | Type:MDP
[Monitor_1] ID:137 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):03 Data(Dec):3 | Type:MDP
[Monitor_2] ID:138 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):03 Data(Dec):3 | Type:MDP
[Monitor_0] ID:139 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):09 Data(Dec):9 | Type:MDP
[Monitor_2] ID:140 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):09 Data(Dec):9 | Type:MDP
[Checker] Predicted Drop: Packet ID 141 is INVALID (Src:0001 Tgt:0101). Ignoring.
[Driver_0] ID:141 Name:pkt_0 | Src:0001 Tgt:0101 | Data(Hex):bb Data(Dec):187 | Type:MDP
[Driver_2] ID:142 Name:pkt_2 | Src:0100 Tgt:1011 | Data(Hex):89 Data(Dec):137 | Type:MDP
[Monitor_0] ID:143 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):29 Data(Dec):41 | Type:MDP
[Monitor_1] ID:144 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):29 Data(Dec):41 | Type:MDP
[Monitor_3] ID:145 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):29 Data(Dec):41 | Type:MDP
[Checker] Predicted Drop: Packet ID 146 is INVALID (Src:0010 Tgt:1010). Ignoring.
[Driver_1] ID:146 Name:pkt_1 | Src:0010 Tgt:1010 | Data(Hex):5c Data(Dec):92 | Type:MDP
[Checker] Predicted Drop: Packet ID 147 is INVALID (Src:1000 Tgt:1110). Ignoring.
[Driver_3] ID:147 Name:pkt_3 | Src:1000 Tgt:1110 | Data(Hex):90 Data(Dec):144 | Type:MDP
[Monitor_0] ID:148 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):89 Data(Dec):137 | Type:MDP
[Monitor_1] ID:149 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):89 Data(Dec):137 | Type:MDP
[Monitor_3] ID:150 Name:monitored | Src:0100 Tgt:1011 | Data(Hex):89 Data(Dec):137 | Type:MDP
[Checker] Predicted Drop: Packet ID 151 is INVALID (Src:0100 Tgt:0111). Ignoring.
[Driver_2] ID:151 Name:pkt_2 | Src:0100 Tgt:0111 | Data(Hex):f0 Data(Dec):240 | Type:MDP
[Checker] Predicted Drop: Packet ID 152 is INVALID (Src:1000 Tgt:1010). Ignoring.
[Driver_3] ID:152 Name:pkt_3 | Src:1000 Tgt:1010 | Data(Hex):6b Data(Dec):107 | Type:MDP
[Driver_0] ID:153 Name:pkt_0 | Src:0001 Tgt:0010 | Data(Hex):b1 Data(Dec):177 | Type:SDP
[Checker] Predicted Drop: Packet ID 154 is INVALID (Src:0010 Tgt:1010). Ignoring.
[Driver_1] ID:154 Name:pkt_1 | Src:0010 Tgt:1010 | Data(Hex):24 Data(Dec):36 | Type:MDP
[Monitor_1] ID:155 Name:monitored | Src:0001 Tgt:0010 | Data(Hex):b1 Data(Dec):177 | Type:SDP
[Driver_1] ID:156 Name:pkt_1 | Src:0010 Tgt:0101 | Data(Hex):0a Data(Dec):10 | Type:MDP
[Checker] Predicted Drop: Packet ID 157 is INVALID (Src:0100 Tgt:0111). Ignoring.
[Driver_2] ID:157 Name:pkt_2 | Src:0100 Tgt:0111 | Data(Hex):72 Data(Dec):114 | Type:MDP
[Checker] Predicted Drop: Packet ID 158 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:158 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):5d Data(Dec):93 | Type:SDP
[Monitor_0] ID:159 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):0a Data(Dec):10 | Type:MDP
[Monitor_2] ID:160 Name:monitored | Src:0010 Tgt:0101 | Data(Hex):0a Data(Dec):10 | Type:MDP
[Driver_3] ID:161 Name:pkt_3 | Src:1000 Tgt:0100 | Data(Hex):d9 Data(Dec):217 | Type:SDP
[Checker] Predicted Drop: Packet ID 162 is INVALID (Src:0100 Tgt:0100). Ignoring.
[Driver_2] ID:162 Name:pkt_2 | Src:0100 Tgt:0100 | Data(Hex):bc Data(Dec):188 | Type:SDP
[Driver_1] ID:163 Name:pkt_1 | Src:0010 Tgt:0001 | Data(Hex):ff Data(Dec):255 | Type:SDP
[Driver_0] ID:164 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):3c Data(Dec):60 | Type:SDP
[Checker] Predicted Drop: Packet ID 165 is INVALID (Src:1000 Tgt:1011). Ignoring.
[Driver_3] ID:165 Name:pkt_3 | Src:1000 Tgt:1011 | Data(Hex):94 Data(Dec):148 | Type:MDP
[Monitor_2] ID:166 Name:monitored | Src:1000 Tgt:0100 | Data(Hex):d9 Data(Dec):217 | Type:SDP
[Driver_1] ID:167 Name:pkt_1 | Src:0010 Tgt:1111 | Data(Hex):30 Data(Dec):48 | Type:BDP
[Checker] Predicted Drop: Packet ID 168 is INVALID (Src:0100 Tgt:0101). Ignoring.
[Driver_2] ID:168 Name:pkt_2 | Src:0100 Tgt:0101 | Data(Hex):3e Data(Dec):62 | Type:MDP
[Monitor_0] ID:169 Name:monitored | Src:0010 Tgt:0001 | Data(Hex):ff Data(Dec):255 | Type:SDP
[Monitor_2] ID:170 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):3c Data(Dec):60 | Type:SDP
[Checker] Predicted Drop: Packet ID 171 is INVALID (Src:1000 Tgt:1101). Ignoring.
