Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final.log +no_notifier
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan  8 23:32 2026
NOTE: automatic random seed used: 3283960151
Doing SDF annotation ...... Done
Loading SDF Delays from switch_4port.sdf...
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  60
[Driver_1] ID:67 Name:pkt_1 | Src:0010 Tgt:1011 | Data(Hex):4e Data(Dec):78 | Type:MDP
[Checker] Predicted Drop: Packet ID 68 is INVALID (Src:1000 Tgt:1010). Ignoring.
[Driver_3] ID:68 Name:pkt_3 | Src:1000 Tgt:1010 | Data(Hex):63 Data(Dec):99 | Type:MDP
[Monitor_2] ID:69 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):b0 Data(Dec):176 | Type:MDP
[Monitor_3] ID:70 Name:monitored | Src:0010 Tgt:1100 | Data(Hex):b0 Data(Dec):176 | Type:MDP
[Checker] Predicted Drop: Packet ID 71 is INVALID (Src:0001 Tgt:1101). Ignoring.
[Driver_0] ID:71 Name:pkt_0 | Src:0001 Tgt:1101 | Data(Hex):70 Data(Dec):112 | Type:MDP
[Driver_2] ID:72 Name:pkt_2 | Src:0100 Tgt:0011 | Data(Hex):f1 Data(Dec):241 | Type:MDP
[Monitor_0] ID:73 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):f1 Data(Dec):241 | Type:MDP
[Monitor_1] ID:74 Name:monitored | Src:0100 Tgt:0011 | Data(Hex):f1 Data(Dec):241 | Type:MDP
[Checker] Predicted Drop: Packet ID 75 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:75 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):51 Data(Dec):81 | Type:MDP
[Checker] Predicted Drop: Packet ID 76 is INVALID (Src:1000 Tgt:0000). Ignoring.
[Driver_3] ID:76 Name:pkt_3 | Src:1000 Tgt:0000 | Data(Hex):36 Data(Dec):54 | Type:ERR
[Checker] Predicted Drop: Packet ID 77 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:77 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):80 Data(Dec):128 | Type:MDP
[Driver_1] ID:78 Name:pkt_1 | Src:0010 Tgt:0001 | Data(Hex):60 Data(Dec):96 | Type:SDP
[Checker] Predicted Drop: Packet ID 79 is INVALID (Src:0001 Tgt:0011). Ignoring.
[Driver_0] ID:79 Name:pkt_0 | Src:0001 Tgt:0011 | Data(Hex):4a Data(Dec):74 | Type:MDP
[Checker] Predicted Drop: Packet ID 80 is INVALID (Src:1000 Tgt:1100). Ignoring.
[Driver_3] ID:80 Name:pkt_3 | Src:1000 Tgt:1100 | Data(Hex):31 Data(Dec):49 | Type:MDP
[Monitor_0] ID:81 Name:monitored | Src:0010 Tgt:0001 | Data(Hex):60 Data(Dec):96 | Type:SDP
[Driver_0] ID:82 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):de Data(Dec):222 | Type:SDP
[Driver_2] ID:83 Name:pkt_2 | Src:0100 Tgt:0001 | Data(Hex):8f Data(Dec):143 | Type:SDP
[Checker] Predicted Drop: Packet ID 84 is INVALID (Src:0010 Tgt:0000). Ignoring.
[Driver_1] ID:84 Name:pkt_1 | Src:0010 Tgt:0000 | Data(Hex):83 Data(Dec):131 | Type:ERR
[Driver_3] ID:85 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):b8 Data(Dec):184 | Type:MDP
[Monitor_0] ID:86 Name:monitored | Src:0100 Tgt:0001 | Data(Hex):8f Data(Dec):143 | Type:SDP
[Monitor_2] ID:87 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):de Data(Dec):222 | Type:SDP
[Checker] Predicted Drop: Packet ID 88 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:88 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):3a Data(Dec):58 | Type:MDP
[Monitor_1] ID:89 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):b8 Data(Dec):184 | Type:MDP
[Monitor_2] ID:90 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):b8 Data(Dec):184 | Type:MDP
[Checker] Predicted Drop: Packet ID 91 is INVALID (Src:0001 Tgt:0001). Ignoring.
[Driver_0] ID:91 Name:pkt_0 | Src:0001 Tgt:0001 | Data(Hex):80 Data(Dec):128 | Type:SDP
[Driver_3] ID:92 Name:pkt_3 | Src:1000 Tgt:0110 | Data(Hex):62 Data(Dec):98 | Type:MDP
[Driver_1] ID:93 Name:pkt_1 | Src:0010 Tgt:1000 | Data(Hex):b2 Data(Dec):178 | Type:SDP
[Driver_0] ID:94 Name:pkt_0 | Src:0001 Tgt:0100 | Data(Hex):09 Data(Dec):9 | Type:SDP
[Monitor_1] ID:95 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):62 Data(Dec):98 | Type:MDP
[Monitor_2] ID:96 Name:monitored | Src:1000 Tgt:0110 | Data(Hex):62 Data(Dec):98 | Type:MDP
[Checker] Predicted Drop: Packet ID 97 is INVALID (Src:0010 Tgt:1110). Ignoring.
[Driver_1] ID:97 Name:pkt_1 | Src:0010 Tgt:1110 | Data(Hex):10 Data(Dec):16 | Type:MDP
[Checker] Predicted Drop: Packet ID 98 is INVALID (Src:0100 Tgt:0000). Ignoring.
[Driver_2] ID:98 Name:pkt_2 | Src:0100 Tgt:0000 | Data(Hex):ad Data(Dec):173 | Type:ERR
[Monitor_3] ID:99 Name:monitored | Src:0010 Tgt:1000 | Data(Hex):b2 Data(Dec):178 | Type:SDP
[Monitor_2] ID:100 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):09 Data(Dec):9 | Type:SDP
