Command: /project/verif/users/arielt/ws/ex_vlsi_switch_project_ariel/Synt/./simv +vcs+initreg+1 +ntb_random_seed_automatic +ERR_PKT -cm line+cond+fsm+branch+tgl -cm_dir ./cov_work/gls_simv.vdb -cm_name gls_final_submission -l gls_final_cg_100mhz.log
Chronologic VCS simulator copyright 1991-2025
Contains Synopsys proprietary information.
Compiler version X-2025.06-1_Full64; Runtime version X-2025.06-1_Full64;  Jan 14 17:11 2026
NOTE: automatic random seed used: 2297481700
Doing SDF annotation ...... Done
--- Starting Simulation (Driver-Driven) ---
Number of packets about to be generated at each port:  50
[Monitor_0] ID:53 Name:monitored | Src:0100 Tgt:0001 | Data(Hex):28 Data(Dec):40 | Type:SDP
[Monitor_3] ID:54 Name:monitored | Src:0010 Tgt:1000 | Data(Hex):55 Data(Dec):85 | Type:SDP
[Checker] Predicted Drop: Packet ID 55 is INVALID (Src:1000 Tgt:1010). Ignoring.
[Driver_3] ID:55 Name:pkt_3 | Src:1000 Tgt:1010 | Data(Hex):9f Data(Dec):159 | Type:MDP
[Monitor_2] ID:56 Name:monitored | Src:0001 Tgt:0100 | Data(Hex):7b Data(Dec):123 | Type:SDP
[Driver_1] ID:57 Name:pkt_1 | Src:0010 Tgt:1000 | Data(Hex):da Data(Dec):218 | Type:SDP
[Checker] Predicted Drop: Packet ID 58 is INVALID (Src:0100 Tgt:1100). Ignoring.
[Driver_2] ID:58 Name:pkt_2 | Src:0100 Tgt:1100 | Data(Hex):2c Data(Dec):44 | Type:MDP
[Driver_0] ID:59 Name:pkt_0 | Src:0001 Tgt:1111 | Data(Hex):fc Data(Dec):252 | Type:BDP
[Monitor_3] ID:60 Name:monitored | Src:0010 Tgt:1000 | Data(Hex):da Data(Dec):218 | Type:SDP
[Driver_3] ID:61 Name:pkt_3 | Src:1000 Tgt:0010 | Data(Hex):a3 Data(Dec):163 | Type:SDP
[Checker] Predicted Drop: Packet ID 62 is INVALID (Src:0001 Tgt:1001). Ignoring.
[Driver_0] ID:62 Name:pkt_0 | Src:0001 Tgt:1001 | Data(Hex):c0 Data(Dec):192 | Type:MDP
[Checker] Predicted Drop: Packet ID 63 is INVALID (Src:0100 Tgt:0110). Ignoring.
[Driver_2] ID:63 Name:pkt_2 | Src:0100 Tgt:0110 | Data(Hex):d3 Data(Dec):211 | Type:MDP
[Monitor_0] ID:64 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):fc Data(Dec):252 | Type:BDP
[Monitor_1] ID:65 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):fc Data(Dec):252 | Type:BDP
[Monitor_2] ID:66 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):fc Data(Dec):252 | Type:BDP
[Monitor_3] ID:67 Name:monitored | Src:0001 Tgt:1111 | Data(Hex):fc Data(Dec):252 | Type:BDP
[Monitor_1] ID:68 Name:monitored | Src:1000 Tgt:0010 | Data(Hex):a3 Data(Dec):163 | Type:SDP
[Checker] Predicted Drop: Packet ID 69 is INVALID (Src:0010 Tgt:1011). Ignoring.
[Driver_1] ID:69 Name:pkt_1 | Src:0010 Tgt:1011 | Data(Hex):ef Data(Dec):239 | Type:MDP
[Checker] Predicted Drop: Packet ID 70 is INVALID (Src:1000 Tgt:1000). Ignoring.
